"suspicious","tick","https://github.com/PolishFiltersTeam/KADhosts","PolishFiltersTeam KADhosts","https://raw.githubusercontent.com/PolishFiltersTeam/KADhosts/master/KADhosts_without_controversies.txt"
"suspicious","tick","https://github.com/FadeMind/hosts.extras/","Fademind's Spammers","https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.Spam/hosts"
"suspicious","tick","https://v.firebog.net/hosts/static/w3kbl.txt","WaLLy3K's Blacklist","https://v.firebog.net/hosts/static/w3kbl.txt"
"suspicious","std","https://dshield.org/","DSHIELD Suspicious (Low)","https://www.dshield.org/feeds/suspiciousdomains_Low.txt"
"suspicious","std","https://dshield.org/","DSHIELD Suspicious (Medium)","https://www.dshield.org/feeds/suspiciousdomains_Medium.txt"
"suspicious","std","https://dshield.org/","DSHIELD Suspicious (High)","https://www.dshield.org/feeds/suspiciousdomains_High.txt"
"suspicious","std","https://github.com/matomo-org/referrer-spam-blacklist","Matomo Referrer Spam","https://raw.githubusercontent.com/matomo-org/referrer-spam-blacklist/master/spammers.txt"
"suspicious","std","https://someonewhocares.org/","Someone Who Cares","https://someonewhocares.org/hosts/zero/hosts"
"suspicious","std","https://github.com/vokins/yhosts","Vokins yhosts","https://raw.githubusercontent.com/vokins/yhosts/master/hosts"
"suspicious","std","https://winhelp2002.mvps.org/","Winhelp2002 MVPS","https://winhelp2002.mvps.org/hosts.txt"
"suspicious","std","https://github.com/neofelhz/neohosts","neoFelhz's neoHosts","https://hosts.nfz.moe/basic/hosts"
"suspicious","std","https://github.com/RooneyMcNibNug/pihole-stuff/","RooneyMcNibNug's SNAFU list","https://raw.githubusercontent.com/RooneyMcNibNug/pihole-stuff/master/SNAFU.txt"
"suspicious","std","https://ssl.bblck.me/","paulgb's BarbBlock","https://ssl.bblck.me/blacklists/hosts-file.txt"
"suspicious","cross","https://hostsfile.mine.nu/","Andy Short","https://hostsfile.mine.nu/hosts0.txt"
"suspicious","cross","http://www.sa-blacklist.stearns.org/sa-blacklist/","Bill Stearn","https://v.firebog.net/hosts/BillStearns.txt"
"suspicious","cross","https://blocklist.kowabit.de/list.txt","Kowabit BoD","https://v.firebog.net/hosts/Kowabit.txt"
"suspicious","cross","https://mahakala.is/","Mahakala","https://adblock.mahakala.is"
"advertising","tick","https://adaway.org/","AdAway","https://adaway.org/hosts.txt"
"advertising","tick","https://filters.adtidy.org/extension/chromium/filters/15.txt","Adguard DNS","https://v.firebog.net/hosts/AdguardDNS.txt"
"advertising","tick","https://github.com/LanikSJ/ubo-filters","LanikSJ's Admiral Anti-Adblock","https://v.firebog.net/hosts/Admiral.txt"
"advertising","tick","https://github.com/anudeepND/blacklist","Anudeep ND's Blacklist","https://raw.githubusercontent.com/anudeepND/blacklist/master/adservers.txt"
"advertising","tick","https://disconnect.me/","Disconnect Ads","https://s3.amazonaws.com/lists.disconnect.me/simple_ad.txt"
"advertising","tick","https://github.com/easylist/easylist","Easylist","https://v.firebog.net/hosts/Easylist.txt"
"advertising","tick","https://pgl.yoyo.org/adservers/","Peter Lowe's Adservers","https://pgl.yoyo.org/adservers/serverlist.php?hostformat=hosts&showintro=0&mimetype=plaintext"
"advertising","tick","https://github.com/FadeMind/hosts.extras","Fademind's Unchecky Ads","https://raw.githubusercontent.com/FadeMind/hosts.extras/master/UncheckyAds/hosts"
"advertising","tick","https://github.com/bigdargon/hostsVN","hostsVN","https://raw.githubusercontent.com/bigdargon/hostsVN/master/hosts"
"advertising","std","https://github.com/jdlingyu/ad-wars","Jdlingyu's Ad-wars","https://raw.githubusercontent.com/jdlingyu/ad-wars/master/hosts"
"tracking","tick","https://github.com/easylist/easylist","Easyprivacy","https://v.firebog.net/hosts/Easyprivacy.txt"
"tracking","tick","https://dsi.ut-capitole.fr/blacklists/index_en.php","Fabrice Prigent's Ads","https://v.firebog.net/hosts/Prigent-Ads.txt"
"tracking","tick","https://gitlab.com/quidsup/notrack-blocklists","Quidsup Trackers","https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-blocklist.txt"
"tracking","tick","https://github.com/Fademind/hosts.extras","Fademind's 2o7 Network Trackers","https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.2o7Net/hosts"
"tracking","tick","https://github.com/crazy-max/WindowsSpyBlocker","Crazy Max's Microsoft Telemetry","https://raw.githubusercontent.com/crazy-max/WindowsSpyBlocker/master/data/hosts/spy.txt"
"tracking","tick","https://hostfiles.frogeye.fr/","Geoffrey Frogeye's First-Party Trackers","https://hostfiles.frogeye.fr/firstparty-trackers-hosts.txt"
"tracking","std","https://hostfiles.frogeye.fr","Geoffrey Frogeye's Multi-Party Trackers","https://hostfiles.frogeye.fr/multiparty-trackers-hosts.txt"
"tracking","std","https://www.github.developerdan.com/hosts/","Lightswitch05's Ads & Tracking","https://www.github.developerdan.com/hosts/lists/ads-and-tracking-extended.txt"
"tracking","std","https://github.com/Perflyst/PiHoleBlocklist","Perflyst's Android Trackers","https://raw.githubusercontent.com/Perflyst/PiHoleBlocklist/master/android-tracking.txt"
"tracking","std","https://github.com/Perflyst/PiHoleBlocklist","Perflyst's SmartTV Domains","https://raw.githubusercontent.com/Perflyst/PiHoleBlocklist/master/SmartTV.txt"
"tracking","std","https://github.com/Perflyst/PiHoleBlocklist","Perflyst's Amazon FireTV Domains","https://raw.githubusercontent.com/Perflyst/PiHoleBlocklist/master/AmazonFireTV.txt"
"tracking","cross","http://rlwpx.free.fr/WPFF/hosts.htm","Airelle Trackers","https://v.firebog.net/hosts/Airelle-trc.txt"
